"","dataset1a[, 1]","Round","MF","Class","Convo"
"318","ID_1",1,1,1,1
"319","ID_2",1,1,1,5
"320","ID_3",1,1,1,1
"321","ID_4",1,1,1,2
"322","ID_5",1,1,1,5
"323","ID_6",1,1,1,3
"324","ID_7",1,1,1,2
"325","ID_8",1,1,1,1
"326","ID_9",1,1,1,3
"327","ID_10",1,1,1,4
"328","ID_11",1,1,1,1
"329","ID_12",1,1,1,4
"330","ID_13",1,1,1,3
"331","ID_14",1,1,1,2
"332","ID_15",1,1,1,1
"333","ID_2",1,1,1,1
"334","ID_16",1,1,1,3
"335","ID_17",1,1,1,3
"336","ID_18",1,1,1,1
"337","ID_19",1,1,1,1
"338","ID_20",1,1,1,5
"339","ID_21",1,1,1,3
"340","ID_22",1,1,1,3
"341","ID_23",1,1,1,3
"342","ID_24",1,1,2,4
"343","ID_25",1,1,2,5
"344","ID_26",1,1,2,1
"345","ID_27",1,1,2,1
"346","ID_28",1,1,2,2
"347","ID_29",1,1,2,2
"348","ID_30",1,1,2,1
"349","ID_31",1,1,2,1
"350","ID_32",1,1,2,5
"351","ID_33",1,1,2,2
"352","ID_34",1,1,2,2
"353","ID_35",1,1,2,2
"354","ID_36",1,1,2,2
"355","ID_37",1,1,2,1
"356","ID_38",1,1,2,3
"357","ID_39",1,1,2,3
"358","ID_40",1,1,2,5
"359","ID_41",1,1,2,2
"360","ID_42",1,1,2,5
"361","ID_43",1,1,2,2
"362","ID_44",1,1,2,2
"363","ID_45",1,1,3,2
"364","ID_46",1,1,3,3
"365","ID_47",1,1,3,2
"366","ID_48",1,1,3,2
"367","ID_49",1,1,3,NA
"368","ID_50",1,1,3,2
"369","ID_51",1,1,3,1
"370","ID_52",1,1,3,3
"371","ID_53",1,1,3,3
"372","ID_54",1,1,3,3
"373","ID_55",1,1,4,1
"374","ID_56",1,1,3,3
"375","ID_57",1,1,3,3
"376","ID_58",1,1,3,1
"377","ID_59",1,1,3,1
"378","ID_60",1,1,3,2
"379","ID_61",1,1,3,2
"380","ID_62",1,1,3,1
"381","ID_63",1,1,3,2
"382","ID_64",1,1,3,NA
"383","ID_65",1,1,3,1
"384","ID_66",1,1,3,3
"385","ID_67",1,1,5,4
"386","ID_68",1,1,5,3
"387","ID_69",1,1,5,5
"388","ID_70",1,1,5,4
"389","ID_71",1,1,5,2
"390","ID_72",1,1,5,2
"391","ID_73",1,1,5,2
"392","ID_74",1,1,5,1
"393","ID_75",1,1,5,1
"394","ID_76",1,1,5,4
"395","ID_77",1,1,5,3
"396","ID_78",1,1,5,NA
"397","ID_79",1,1,5,1
"398","ID_80",1,1,5,2
"399","ID_81",1,1,5,2
"400","ID_82",1,1,5,1
"401","ID_83",1,1,5,2
"402","ID_84",1,1,5,2
"403","ID_85",1,1,5,3
"404","ID_86",1,1,5,2
"405","ID_87",1,1,5,4
"406","ID_88",1,1,NA,2
"407","ID_89",1,1,5,2
"408","ID_90",1,1,5,2
"409","ID_62",2,1,3,1
"410","ID_53",2,1,3,4
"411","ID_91",2,1,3,2
"412","ID_52",2,1,3,4
"413","ID_92",2,1,3,3
"414","ID_64",2,1,3,3
"415","ID_47",2,1,3,NA
"416","ID_60",2,1,3,3
"417","ID_50",2,1,3,2
"418","ID_58",2,1,3,2
"419","ID_57",2,1,3,2
"420","ID_49",2,1,3,3
"421","ID_54",2,1,3,2
"422","ID_61",2,1,3,3
"423","ID_55",2,1,3,1
"424","ID_56",2,1,3,2
"425","ID_45",2,1,3,2
"426","ID_59",2,1,3,2
"427","ID_93",2,1,3,2
"428","ID_46",2,1,3,NA
"429","ID_94",2,1,2,5
"430","ID_33",2,1,2,5
"431","ID_25",2,1,2,5
"432","ID_40",2,1,2,5
"433","ID_32",2,1,2,4
"434","ID_27",2,1,2,5
"435","ID_31",2,1,2,2
"436","ID_29",2,1,2,3
"437","ID_95",2,1,2,3
"438","ID_96",2,1,2,4
"439","ID_44",2,1,2,4
"440","ID_39",2,1,2,3
"441","ID_37",2,1,2,5
"442","ID_36",2,1,2,2
"443","ID_30",2,1,2,1
"444","ID_35",2,1,2,2
"445","ID_34",2,1,2,3
"446","ID_24",2,1,2,4
"447","ID_41",2,1,2,3
"448","ID_26",2,1,2,1
"449","ID_97",2,1,2,2
"450","0_ID_NA",2,1,NA,1
"451","ID_42",2,1,2,3
"452","ID_43",2,1,2,2
"453","ID_99",2,1,6,5
"454","ID_100",2,1,7,2
"455","ID_101",2,1,7,5
"456","ID_102",2,1,7,1
"457","ID_103",2,1,7,2
"458","ID_104",2,1,7,5
"459","ID_105",2,1,7,5
"460","ID_106",2,1,7,3
"461","ID_107",2,1,7,4
"462","ID_108",2,1,7,NA
"463","0_ID_NA",2,1,NA,4
"464","ID_109",2,1,7,5
"465","ID_110",2,1,7,5
"466","ID_111",2,1,7,4
"467","ID_92",2,1,7,3
"468","ID_112",2,1,7,4
"469","ID_113",2,1,7,1
"470","ID_114",2,1,7,1
"471","ID_115",2,1,7,1
"472","ID_116",2,1,7,2
"473","ID_117",2,1,7,2
"474","ID_69",2,1,7,5
"475","ID_118",2,1,7,1
"559","ID_119",4,1,8,2
"560","ID_120",4,1,8,5
"561","ID_121",4,1,8,1
"562","ID_122",4,1,8,1
"563","ID_61",4,1,8,1
"564","ID_123",4,1,8,3
"565","ID_124",4,1,8,2
"566","ID_125",4,1,8,5
"567","ID_126",4,1,8,3
"568","ID_127",4,1,8,5
"569","ID_128",4,1,8,2
"570","ID_85",4,1,8,1
"571","ID_28",4,1,8,2
"572","ID_129",4,1,8,NA
"573","ID_130",4,1,8,3
"574","ID_93",4,1,8,1
"575","ID_131",4,1,8,4
"576","ID_132",4,1,8,4
"577","ID_133",4,1,8,1
"578","ID_134",4,1,8,3
"579","ID_135",4,1,8,2
"580","ID_136",4,1,8,2
"581","0_ID_NA",4,1,NA,NA
"582","ID_137",4,1,8,1
"583","ID_138",4,1,NA,NA
"584","ID_139",4,1,NA,1
"585","ID_140",4,1,9,5
"586","ID_141",4,1,9,2
"587","ID_142",4,1,9,3
"588","ID_143",4,1,9,5
"589","ID_144",4,1,9,3
"590","ID_145",4,1,9,5
"591","ID_50",4,1,9,2
"592","ID_146",4,1,9,2
"593","ID_147",4,1,9,4
"594","ID_148",4,1,9,2
"595","ID_41",4,1,9,2
"596","ID_149",4,1,9,5
"597","ID_150",4,1,9,5
"598","ID_151",4,1,9,1
"599","ID_152",4,1,9,2
"600","ID_153",4,1,9,2
"601","ID_154",4,1,9,2
"602","ID_155",4,1,9,1
"603","ID_156",4,1,9,3
"604","ID_157",4,1,9,3
"605","ID_158",4,1,9,4
"606","ID_159",4,1,9,1
"607","ID_131",4,1,9,NA
"608","ID_160",4,1,9,2
"609","ID_75",4,1,5,2
"610","ID_68",4,1,5,3
"611","ID_87",4,1,5,1
"612","0_ID_NA",4,1,NA,3
"613","ID_73",4,1,5,NA
"614","ID_85",4,1,5,3
"615","ID_84",4,1,5,4
"616","ID_70",4,1,5,3
"617","ID_77",4,1,5,5
"618","0_ID_NA",4,1,NA,1
"619","ID_86",4,1,5,5
"620","ID_89",4,1,5,1
"621","ID_67",4,1,5,5
"622","ID_69",4,1,5,3
"623","ID_81",4,1,NA,2
"624","ID_78",4,1,5,1
"625","ID_80",4,1,5,2
"626","ID_74",4,1,5,4
"627","ID_82",4,1,5,3
"628","ID_76",4,1,5,2
"629","ID_83",4,1,5,2
"630","ID_161",4,1,5,5
"631","ID_65",4,1,3,1
"632","ID_51",4,1,3,2
"633","ID_162",4,1,3,1
"634","ID_47",4,1,3,NA
"635","ID_58",4,1,3,1
"636","ID_52",4,1,3,4
"637","ID_54",4,1,3,3
"638","ID_66",4,1,3,3
"639","ID_163",4,1,3,2
"640","ID_48",4,1,3,3
"641","ID_49",4,1,3,5
"642","ID_61",4,1,3,3
"643","ID_56",4,1,3,3
"644","ID_57",4,1,3,1
"645","ID_55",4,1,3,1
"646","ID_53",4,1,3,4
"647","ID_45",4,1,3,1
"648","ID_50",4,1,3,2
"649","ID_59",4,1,3,2
"650","ID_60",4,1,3,3
"651","ID_62",4,1,3,1
"652","ID_32",4,1,2,1
"653","ID_42",4,1,2,5
"654","ID_96",4,1,2,1
"655","ID_29",4,1,2,3
"656","ID_38",4,1,2,5
"657","ID_95",4,1,2,4
"658","ID_40",4,1,2,3
"659","ID_37",4,1,2,5
"660","ID_41",4,1,2,5
"661","ID_75",4,1,2,1
"662","ID_33",4,1,2,5
"663","ID_27",4,1,2,3
"664","ID_44",4,1,2,4
"665","ID_24",4,1,2,2
"666","ID_39",4,1,2,4
"667","ID_43",4,1,2,2
"668","ID_30",4,1,2,2
"669","ID_34",4,1,2,3
"670","ID_36",4,1,2,2
"671","ID_28",4,1,2,2
