,"dataset1a[, 1]",Round,MF,Class,Convo
702,ID_1,1,1,1,2
703,ID_2,1,1,NA,NA
704,ID_3,1,2,2,4
705,ID_4,1,2,NA,4
706,ID_5,1,2,NA,5
707,ID_6,1,1,NA,3
708,ID_7,1,2,NA,3
709,0_ID_NA,1,1,NA,5
710,ID_9,1,2,NA,4
711,ID_10,1,2,3,1
712,ID_11,1,2,3,2
713,ID_12,1,2,NA,2
714,0_ID_NA,1,1,NA,2
715,ID_13,1,1,NA,5
716,ID_14,1,1,NA,3
717,ID_15,1,1,NA,3
718,ID_16,1,2,NA,1
719,ID_17,1,1,NA,2
720,ID_18,1,2,NA,1
721,ID_19,1,1,4,2
722,ID_20,1,2,NA,5
723,ID_21,1,2,5,1
724,ID_22,1,2,NA,3
725,ID_23,1,2,NA,4
726,ID_18,2,2,6,1
727,ID_20,2,2,NA,5
728,ID_15,2,2,NA,3
729,ID_16,2,2,NA,1
730,ID_22,2,2,NA,1
731,ID_17,2,1,NA,2
732,ID_21,2,2,NA,2
733,ID_19,2,1,NA,4
734,ID_13,2,1,7,4
735,ID_14,2,1,7,3
736,ID_5,2,2,NA,1
737,ID_4,2,2,8,4
738,ID_3,2,2,NA,5
739,ID_2,2,1,9,4
740,ID_24,2,1,NA,3
741,ID_6,2,1,5,5
742,ID_1,2,1,10,2
743,ID_7,2,2,7,2
744,ID_25,2,2,NA,4
745,0_ID_NA,2,1,NA,3
746,ID_9,2,2,10,2
747,ID_11,2,2,3,2
748,ID_10,2,2,3,2
749,ID_12,2,2,NA,4
750,ID_23,2,2,NA,2
751,ID_9,3,2,NA,3
752,0_ID_NA,3,2,NA,5
753,ID_22,3,2,10,3
754,ID_24,3,1,11,3
755,ID_18,3,2,6,1
756,ID_7,3,2,10,4
757,ID_4,3,2,8,3
758,ID_16,3,2,8,2
759,ID_2,3,1,12,4
760,ID_14,3,1,12,2
761,ID_13,3,1,10,3
762,ID_21,3,2,5,1
763,ID_3,3,2,NA,4
764,ID_15,3,2,13,3
765,ID_20,3,2,NA,5
766,ID_25,3,2,NA,2
767,ID_5,3,2,NA,3
768,ID_1,3,2,NA,2
769,ID_6,3,1,5,3
770,ID_17,3,1,14,2
771,ID_19,3,1,NA,4
772,ID_11,3,2,15,2
773,ID_12,3,2,15,5
774,ID_23,3,2,NA,4
1069,ID_26,1,1,11,2
1070,ID_26,2,2,11,3
1071,ID_26,3,2,11,3
1097,ID_16,4,2,NA,1
1098,ID_4,4,2,8,3
1099,ID_3,4,2,NA,3
1100,ID_22,4,2,NA,3
1101,ID_19,4,1,NA,3
1102,ID_25,4,2,NA,4
1103,ID_2,4,1,NA,5
1104,ID_14,4,1,NA,4
1105,ID_12,4,2,NA,5
1106,ID_18,4,2,NA,1
1107,ID_15,4,2,13,3
1108,ID_21,4,2,NA,1
1109,ID_13,4,1,NA,4
1110,ID_7,4,2,NA,4
1111,ID_23,4,2,NA,3
1112,ID_9,4,2,NA,4
1113,0_ID_NA,4,1,NA,5
1114,ID_6,4,1,NA,3
1115,ID_11,4,2,NA,2
1116,ID_10,4,2,NA,3
1117,ID_24,4,1,NA,2
