,p1,c1,c2,c3,c4,c5,c6
1,ID_1,ID_34,ID_17,ID_35,ID_74,ID_81,ID_28
2,ID_2,ID_14,ID_13,ID_79,ID_27,ID_83,ID_65
3,ID_3,ID_28,ID_44,ID_73,ID_34,ID_35,ID_56
4,ID_4,0_ID_NA,ID_18,ID_16,ID_40,ID_57,ID_9
5,ID_5,ID_15,ID_25,ID_63,0_ID_NA,0_ID_NA,0_ID_NA
6,ID_6,ID_79,ID_84,ID_35,ID_34,ID_1,0_ID_NA
7,ID_7,ID_43,ID_20,ID_30,ID_19,ID_15,ID_35
8,0_ID_NA,0_ID_NA,ID_32,ID_53,0_ID_NA,ID_83,ID_9
9,ID_9,ID_36,ID_52,ID_58,ID_67,ID_20,ID_60
10,ID_10,ID_25,ID_30,ID_36,ID_23,ID_57,ID_43
11,ID_11,ID_49,ID_12,ID_10,ID_23,ID_30,ID_72
12,ID_12,ID_9,ID_67,ID_36,ID_23,ID_21,ID_16
13,0_ID_NA,ID_84,ID_32,ID_47,ID_80,ID_37,ID_53
14,ID_13,ID_14,ID_80,ID_2,ID_34,ID_29,ID_53
15,ID_14,ID_13,ID_2,ID_29,ID_34,ID_53,ID_80
16,ID_15,ID_72,ID_50,ID_20,ID_79,ID_45,ID_59
17,ID_16,ID_18,ID_72,ID_4,ID_66,ID_69,ID_27
18,ID_17,ID_68,ID_35,ID_1,ID_81,ID_34,ID_19
19,ID_18,ID_4,ID_42,ID_16,ID_9,ID_69,ID_22
20,ID_19,ID_81,ID_79,ID_68,ID_17,ID_82,ID_35
21,ID_20,ID_15,ID_45,ID_78,ID_58,ID_43,ID_59
22,ID_21,ID_70,ID_36,ID_26,ID_49,ID_42,ID_55
23,ID_22,ID_18,0_ID_NA,ID_49,ID_9,ID_43,ID_69
24,ID_23,ID_45,ID_10,ID_73,ID_43,ID_7,ID_11
25,ID_18,ID_42,ID_4,ID_70,ID_69,ID_16,ID_22
26,ID_20,ID_15,ID_45,ID_72,ID_58,ID_78,ID_7
27,ID_15,ID_20,ID_72,ID_7,ID_58,ID_45,ID_30
28,ID_16,ID_69,ID_52,ID_44,ID_42,ID_23,ID_12
29,ID_22,ID_69,ID_18,ID_70,ID_16,ID_80,0_ID_NA
