"","school","train","test","no_link","amb","link","precision","recall","ff","accuracy","contacts"
"1",1,1,2,962,0,73,0.82,0.85,0.83,0.98,1035
"2",1,1,3,962,0,73,0.71,0.78,0.74,0.97,1035
"3",1,1,4,962,0,73,0.73,0.74,0.73,0.96,1035
"4",1,2,3,951,24,60,0.75,0.81,0.78,0.97,1035
"5",1,2,4,951,24,60,0.73,0.73,0.73,0.96,1035
"6",1,3,4,943,0,49,0.74,0.73,0.74,0.96,1035
"7",2,1,2,677,0,64,0.84,0.83,0.84,0.97,741
"8",2,1,3,677,0,64,0.72,0.73,0.72,0.95,741
"9",2,1,4,677,0,64,0.73,0.68,0.71,0.95,741
"10",2,2,3,666,21,54,0.74,0.75,0.75,0.96,741
"11",2,2,4,666,21,54,0.74,0.7,0.72,0.95,741
"12",2,3,4,653,0,45,0.75,0.7,0.72,0.95,741
"13",3,1,2,324,0,27,0.48,0.5,0.49,0.92,351
"14",3,1,3,324,0,27,0.52,0.67,0.58,0.94,351
"15",3,1,4,324,0,27,0.52,0.56,0.54,0.93,351
"16",3,2,3,311,27,13,0.53,0.67,0.59,0.94,351
"17",3,2,4,311,27,13,0.49,0.52,0.5,0.93,351
"18",3,3,4,307,0,11,0.54,0.53,0.54,0.93,351
"19",4,1,2,117,0,19,0.58,0.65,0.61,0.9,136
"20",4,1,3,117,0,19,0.74,0.78,0.76,0.93,136
"21",4,1,4,117,0,19,0.63,0.67,0.65,0.9,136
"22",4,2,3,111,14,11,0.75,0.75,0.75,0.93,136
"23",4,2,4,111,14,11,0.64,0.64,0.64,0.9,136
"24",4,3,4,109,0,11,0.67,0.67,0.67,0.91,136
